Ratio1,Ratio2,Ratio3,Ratio4,Ratio5,Ratio6,Ratio7,budo_indx
0.09,-0.144073625,0.74,0.03,0.31,0.25,16.24491401,0
0.09,-0.141959335,0.68,0.08,0.49,0.22,17.37526953,0
0.12,-0.12111848,0.39,0.54,0.39,0.46,16.62700696,0
0.07,-0.145388393,0.75,0.27,0.35,0.18,16.5603728,0
0.18,-0.085939543,0.74,0.13,1.52,0.13,16.09985754,0
0.24,-0.140235923,0.38,0.47,0.15,0.21,17.51924867,0
0.24,-0.146809764,0.79,0.01,1.29,0.05,19.47275901,0
0.13,-0.134248397,0.67,0.45,0.73,0.16,16.18249357,0
0.21,-0.150061151,0.94,0.03,0.22,-0.11,16.5571814,0
0.07,-0.135563165,0.7,0.05,0.39,0.11,15.91716114,0
0.05,-0.144073625,0.8,0.05,0.49,0.05,16.11148122,0
0.09,-0.139152127,0.6,0.01,0.32,0.36,16.17682709,0
0.09,-0.14465994,0.15,0.71,0.17,0.36,16.44165429,0
0.06,-0.126324252,0.52,0.37,0.35,0.41,16.99870204,0
0.37,-0.144073625,0.75,0.07,0.21,0.01,17.2224541,0
0.1,-0.138494743,0.69,0.11,0.77,0.14,17.70284989,0
0.14,-0.143256336,0.61,0.28,0.32,0.19,16.87078776,0
0.03,-0.140235923,0.69,0.03,0.86,0.2,16.86482597,0
0.03,-0.094378935,0.36,0.01,0.53,0.24,16.80582282,0
0.1,-0.125880074,0.25,0.72,0.25,0.66,16.40003997,0
0.12,-0.151109412,0.67,0.17,0.56,-0.24,17.92035703,0
0.08,-0.137784057,0.54,0.29,1.09,0.37,16.43863789,0
0.01,-0.127798925,0.72,0.27,0.9,0.25,16.50863411,0
0.27,-0.094325633,0.68,0.24,0.28,0.23,16.32776759,0
0.24,-0.138157167,0.47,0.24,0.44,0.35,16.99711769,0
0.08,-0.127408048,0.49,0.2,0.45,0.22,17.87043445,0
0.13,-0.146685394,0.59,0.34,0.7,0.03,21.24117881,0
0.27,-0.143327405,0.36,0.19,0.25,0.2,18.4131347,0
0.46,-0.146756463,0.69,0.03,0.29,0.06,16.38811806,0
0.01,-0.14099991,0.5,0.02,0.28,0.38,16.51502523,0
0.23,-0.128491843,0.34,0.15,0.35,0.61,16.23252525,0
0.48,-0.046922904,0.37,0.31,0.34,0.6,18.33334446,0
0.22,-0.070144556,0.52,0.03,0.55,0.36,16.34021604,0
0,-0.088640149,0.36,0.09,0.58,0.43,17.0819132,0
0.09,-0.142563418,0.48,0.01,0.32,0.09,15.93348219,0
0.07,-0.081444457,0.28,0.13,1.45,0.56,17.2309598,0
0.05,-0.143203035,0.9,0.05,0.44,0.02,16.33730989,0
0.38,-0.150292124,1.02,0.04,-0.07,-0.18,16.88003836,0
0.1,-0.146081312,0.94,0.1,0.19,-0.13,16.85111751,0
0.11,-0.145246256,0.7,0.05,0.4,0.22,16.6138735,0
0.48,0.022582146,0.17,0.23,0.77,0.61,22.08039182,0
0.24,-0.143078665,0.48,0.03,0.32,0.21,16.87992969,0
0.14,-0.140786704,0.57,0.1,0.51,0.31,15.95303691,0
0.03,-0.1381394,0.65,0.01,1.05,0.33,16.55266522,0
0.11,-0.147715889,0.9,0.02,0.27,0.04,16.02575227,0
0.06,-0.137499783,0.47,0.15,0.54,0.43,16.18208843,0
0.08,-0.146614326,0.71,0.58,0.23,0.18,16.16195616,0
0.06,-0.142456815,0.53,0.14,0.33,0.07,16.24276806,0
0.36,-0.140804471,0.74,0.02,0.63,0.23,18.10795254,0
0.07,-0.146667627,0.76,0.28,0.14,-0.01,17.3215111,0
0.02,-0.146347819,0.71,0.13,0.68,0.15,16.20472554,0
0.29,-0.147129573,0.76,0.04,0.25,0.02,16.02661656,0
0.08,-0.142954295,0.82,0.02,0.32,0.16,16.21568913,0
0.13,-0.167099838,0.59,0.43,0.25,0.2,18.12520601,0
0,-0.14465994,0.3,0.27,0.51,0.43,17.09536227,0
0.02,-0.119164095,0.64,0.36,0.4,0.28,16.4094887,0
0.1,-0.144926448,0.73,0.35,0.32,0.29,18.76854914,0
0.06,-0.151624659,0.93,0.12,0.03,-0.15,16.64420317,0
0.09,-0.105909809,0.73,0.26,0.38,0.18,17.8955369,0
0.04,-0.088178203,0.41,0.14,0.5,0.55,16.4457961,0
0.39,-0.149066191,0.72,0.1,0.39,-0.03,17.81549492,0
0.12,-0.146614326,0.55,0.04,0.85,0.15,17.55559635,0
0.41,-0.148231136,0.82,0,0.02,0.13,16.70778584,0
0.14,-0.122824126,0.45,0.26,0.45,0.44,15.92332986,0
0.04,-0.14465994,0.34,0.72,0.21,0.49,18.0031689,0
0.27,-0.144624406,0.73,0.04,0.39,0.03,16.06540127,0
0.4,-0.019845783,0.27,0.09,0.49,0.7,16.17632569,0
0.06,0.111026968,0.33,0.41,0.56,0.44,16.70199644,0
0.02,-0.111879568,0.44,0.48,0.21,0.54,16.5862537,0
0.05,-0.141906034,0.78,0.49,1.4,0.01,16.00573279,0
0.37,-0.150043384,0.62,0.02,0.13,0.03,19.10177869,0
0.08,-0.109711976,0.47,0.26,0.23,0.36,17.59048637,0
0.04,-0.137730756,0.62,0.07,0.16,0.15,18.5187499,0
0.04,-0.14478431,0.78,0.06,0.73,0.07,19.33550934,0
0.04,-0.059004559,0.18,0.31,0.76,0.37,20.59343355,0
0.11,-0.150736302,0.66,0.38,0.21,0.29,17.50343133,0
0.18,-0.130410694,0.59,0.05,0.66,0.18,16.28238705,0
0.07,-0.130037584,0.55,0.03,0.96,0.27,16.04977045,0
0.14,-0.101698996,0.34,0.21,1.7,0.51,17.53774613,0
0.33,0.032442909,0.87,0.36,0.12,0.06,18.08672599,0
0.1,-0.151162714,0.87,0.2,-0.03,-0.06,16.14990842,0
0.07,-0.149972315,0.74,0.07,0.5,0.07,16.56286006,0
0.08,-0.123783551,0.72,0.11,0.71,-0.12,17.52565941,0
