Ratio1,Ratio2,Ratio3,Ratio4,Ratio5,Ratio6,Ratio7,budo_indx
0.07,-0.143362939,0.6,0.14,0.29,0.26,17.00874807,0
0.25,-0.152601852,0.66,0.02,0.28,0.11,17.85966388,0
0.1,-0.132560518,0.57,0.32,1.5,0.43,17.2326304,0
0.09,0.330611049,0.38,0.42,0.62,0.5,16.13681819,0
0.09,-0.143078665,0.64,0.27,0.28,0.18,16.99896329,0
0.1,-0.145814805,0.53,0.4,0.26,0.18,17.05258176,0
0.12,-0.079419003,0.43,0.22,0.25,0.45,16.67390541,0
0,0.0759191,0.27,0.47,0.56,0.54,18.33808231,0
0.04,-0.124814045,0.7,0.03,0.6,0.2,16.09310333,0
0.21,-0.1468986,0.63,0.18,0.47,0.07,20.59444858,0
0.03,-0.149545904,0.77,0.29,0.34,0.13,16.1323554,0
0.05,-0.146632093,0.85,0.04,0.14,0.1,16.70854748,0
0.07,-0.131796531,0.75,0.15,0.77,0.02,16.18778877,0
0.2,-0.14112428,0.67,0.09,0.34,0.22,16.89369359,0
0.17,-0.145228489,0.82,0.1,0.56,0.1,16.43345142,0
0.07,-0.057405517,0.51,0.1,1.17,0.31,18.38576559,0
0.2,-0.144748776,0.66,0.03,0.35,0.21,16.27121434,0
0.14,-0.13975621,0.85,0.1,0.9,0.1,18.09141835,0
0.08,-0.136789098,0.6,0.17,0.57,0.35,15.98354488,0
0.08,-0.116072613,0.62,0.09,0.53,0.31,17.0189321,0
0.08,0.012845754,0.26,0.56,0.96,0.5,20.87680939,0
0.01,-0.139791744,0.72,0.15,0.43,0.1,18.13630867,0
0.11,-0.019792482,0.3,0.38,0.52,0.43,16.28866745,0
0.12,-0.144375666,0.78,0.31,0.28,0.12,16.09207288,0
0.03,-0.125649101,0.66,0.14,0.77,0.32,16.52816136,0
0.18,-0.095267292,0.52,0.27,1.39,0.34,17.18599544,0
0.11,-0.045004053,0.28,0.33,0.72,0.58,16.95892752,0
0.09,-0.155711101,0.41,0.06,0.3,-0.14,16.75318434,0
0.05,-0.136682495,0.66,0.12,0.39,0.22,16.62568187,0
0.13,-0.13211634,0.66,0.09,0.47,0.11,16.91227009,0
0.03,-0.137073372,0.73,0.01,0.63,0.04,16.14394447,0
0,-0.150167754,0.88,0.09,0.59,-0.11,18.96416055,0
0.12,-0.140804471,0.4,0.3,0.49,0.36,19.19730348,0
0.21,-0.135989576,0.29,0.59,0.19,0.69,18.20386807,0
0.11,-0.139702908,0.62,0.09,0.46,0.33,16.86018389,0
0.15,-0.143984789,0.75,0.21,0.31,0.12,17.94981628,0
0.13,-0.135545398,0.83,0.1,0.3,0.04,17.32110558,0
0.03,-0.14465994,0.16,0.83,0.67,0.81,17.91642988,0
0.1,-0.131956436,0.69,0.01,0.21,0.16,17.50876814,0
0.04,-0.122877427,0.64,0.12,0.51,0.17,17.63338111,0
0.13,-0.155764403,0.79,0.12,0.48,-0.08,19.13215752,0
0.05,-0.097790226,0.56,0.03,0.31,0.44,17.4520268,0
0.04,-0.14465994,0.15,0.11,0.34,0.8,17.3357303,0
0.08,-0.14465994,0.1,0.46,1.33,0.71,15.97252383,0
0.06,-0.142900994,0.68,0.17,0.47,0.24,15.94800744,0
0.42,-0.143718282,0.75,0.02,0.23,0.1,16.45152756,0
0.11,-0.143256336,0.84,0.24,0.21,0.1,18.17453345,0
0.1,0.566114487,0.21,0.47,0.37,0.75,16.71395961,0
0.23,-0.142616719,0.75,0.03,0.33,0.13,16.1578321,0
0.08,-0.12410336,0.65,0.08,0.97,-0.05,15.93501056,0
0.48,-0.146116846,0.71,0.01,0.22,0.19,16.1046002,0
0.1,-0.144837612,0.23,0.17,0.36,0.08,17.58701445,0
0.27,-0.144624406,0.73,0.04,0.39,0.03,16.06540127,0
0.12,-0.147005203,0.8,0.03,0.24,0.07,16.23000288,0
0.09,-0.146383353,0.7,0.23,0.37,0.09,17.00197728,0
0.51,-0.158891419,0.52,0.08,0.13,-0.11,17.54818745,0
0.13,-0.145797037,0.76,0.51,1.32,0.22,18.58918095,0
0.01,-0.14465994,0.37,0.73,1.74,0.12,16.59573387,0
0.17,-0.102089874,0.31,0.14,0.42,0.66,17.51238259,0
0.13,-0.14615238,0.73,0.08,0.68,0.02,17.97159794,0
0.46,-0.143913721,0.75,0.27,0.22,0.13,19.65195288,0
0.48,-0.144091392,0.76,0.03,0.38,0.23,16.01682288,0
0.04,0.003748978,0.31,0.53,0.55,0.48,17.11329808,0
0.27,-0.138921154,0.55,0.06,0.33,0.39,18.97191579,0
0.32,-0.004921386,0.12,0.36,0.51,0.35,16.57772522,0
0.09,11.98514408,0.23,0.45,0.33,0.36,16.11325475,0
0.12,-0.139169894,0.62,0.1,0.49,0.3,16.38071581,0
0.12,-0.135634233,0.67,0.08,0.46,0.3,16.21736607,0
0.1,-0.144180228,0.62,0.05,0.43,0.08,16.01087229,0
0.22,-0.14465994,0.1,0.44,0.75,0.33,16.7392956,0
0.06,-0.1468986,0.91,0.23,1.41,0.07,16.7935968,0
0.11,-0.144500036,0.68,0.16,0.4,-0.05,16.25124841,0
0.05,-0.14465994,0.14,0.49,0.32,0.54,16.36365793,0
0.08,-0.145086352,0.76,0.14,0.25,0.06,16.43403714,0
0.13,-0.116605627,0.27,0.08,0.36,0.53,17.13908317,0
0.11,-0.104044259,0.34,0.31,0.39,0.21,18.54346041,0
0.3,-0.063695084,0.43,0.08,0.69,0.47,17.1602586,0
0.1,-0.118702149,0.47,0.11,0.66,0.5,17.01420053,0
0.13,-0.144162461,0.79,0.03,0.79,0.03,16.73964548,0
0.06,-0.097807993,0.49,0.16,0.31,0.23,17.32477226,0
0.22,-0.147289477,0.66,0.55,0.09,0.29,16.68514228,0
0.01,-0.146045777,0.38,0.29,0.14,0.5,17.67638495,0
0.09,0.011886328,0.31,0.33,0.69,0.67,15.93141228,0
0.05,-0.145672667,0.76,0.02,0.12,0.13,15.98177065,0
0.13,-0.139987183,0.68,0.27,0.26,0.06,16.30184386,0
0.09,-0.142492349,0.52,0.37,0.15,0.25,16.80047967,0
0.07,-0.14465994,0.28,0.24,0.55,0.68,16.53116987,0
0.08,-0.126146581,0.39,0.41,0.81,0.41,16.86277618,0
0.07,-0.143984789,0.68,0.05,0.6,0.2,15.94515983,0
0.12,-0.135847439,0.41,0.17,0.4,0.21,16.97117098,0
0.26,-0.058897957,0.35,0.53,0.28,0.57,17.15440088,0
0.11,-0.147573751,0.77,0.13,0.23,0.11,16.38307971,0
0.09,-0.138832319,0.45,0.13,0.53,0.31,18.83542058,0
0.04,-0.147378313,0.87,0.05,0.25,0,16.22818329,0
0.16,-0.13174323,0.44,0.08,0.52,0.31,17.49345504,0
0.06,-0.018317809,0.32,0.59,0.42,0.53,16.42598079,0
0.66,-0.141586225,0.69,0.01,0.24,0.08,17.34900268,0
0.03,-0.145832572,0.84,0.12,0.23,0.04,16.41898653,0
0.24,-0.141408554,0.59,0.14,0.41,0.05,17.7006449,0
