Ratio1,Ratio2,Ratio3,Ratio4,Ratio5,Ratio6,Ratio7,budo_indx
0.19,-0.148248903,0.52,0.15,0.34,0.02,16.24408131,0
0.08,-0.121971303,0.38,0.46,0.3,0.32,17.87070761,0
0.03,-0.145068585,0.68,0.01,0.5,0.06,16.27253826,0
0.05,-0.144055858,0.76,0.28,0.39,0.23,16.22568378,0
0.05,-0.145548297,0.83,0.32,1.42,0.03,20.05077574,0
0.05,-0.142101472,0.79,0.33,0.41,0.12,16.19678067,0
0.33,-0.14465994,0.23,0.52,0.35,0.45,16.23068674,0
0.04,-0.126484156,0.41,0.21,0.46,0.21,16.75586241,0
0.13,-0.147182874,0.75,0.09,1.35,-0.06,16.62545118,0
0.08,-0.1406268,0.76,0.09,0.77,0.1,15.98421425,0
0.19,-0.134763644,0.61,0.47,0.32,0.16,22.12760789,0
0.17,-0.147733656,1,0.15,0.06,-0.36,17.18518353,0
0.19,-0.148426574,0.25,0.41,0.1,0.2,19.61786309,0
0.05,0.275301943,0.64,0.13,0.45,0.3,15.93583009,0
0.26,-0.141834965,0.8,0.07,0.36,0.08,16.82118628,0
0.02,-0.124529771,0.71,0.22,0.47,0.26,17.50941245,0
0.1,-0.140822238,0.57,0.05,0.42,0.27,16.05436768,0
0.03,-0.135865206,0.13,0.74,0.38,0.35,15.94683628,0
0.06,-0.046905137,0.24,0.02,0.51,0.45,18.54005934,0
0.06,-0.143327405,0.73,0.18,0.16,0.2,17.92643077,0
0.01,-0.135349959,0.75,0.07,0.5,0.03,16.22013207,0
0.19,-0.140840005,0.38,0.31,0.2,0.41,16.42812138,0
0.25,-0.137926194,0.55,0.21,0.33,0.33,16.31082197,0
0.12,-0.133786451,0.36,0.73,0.25,0.01,17.49278081,0
0.33,-0.144553338,0.76,0.05,0.48,0.05,17.11675912,0
0.22,-0.143593912,0.73,0.25,0.59,-0.01,15.9720857,0
0.21,-0.143167501,0.75,0,0.26,0.08,16.02061688,0
0.03,-0.107650988,0.62,0.08,0.17,0.17,18.69083587,0
0.11,-0.061349822,0.47,0.21,0.33,0.26,17.9067053,0
0.36,-0.147325011,0.78,0.21,0.39,0.02,17.56567912,0
0.04,-0.14540616,0.71,0.11,0.52,0.03,17.74491636,0
0.04,-0.134568205,0.52,0.46,0.48,0.15,16.33015997,0
0.23,-0.144979749,0.85,0.01,0.38,0.04,16.40590826,0
0.26,-0.106922536,0.68,0.07,0.4,0.14,16.3674177,0
0.05,0.018033759,0.3,0.15,1.13,0.39,16.33217117,0
0.09,-0.13373315,0.36,0,1.24,0.47,17.54058734,0
0.08,-0.135030151,0.88,0.08,0.6,0.1,17.09982571,0
0.04,-0.138921154,0.52,0.24,0.38,0.37,16.01542729,0
0.02,-0.132453915,0.74,0.2,0.27,0.2,16.28660323,0
0.06,-0.146134613,0.98,0.12,0.3,-0.04,15.98806999,0
