Ratio1,Ratio2,Ratio3,Ratio4,Ratio5,Ratio6,Ratio7,budo_indx
0.04,-0.119412835,0.72,0.21,0.27,0.15,16.64857013,0
0.12,-0.14640112,0.67,0.09,0.31,0.15,18.61252852,0
0.12,-0.14602801,0.36,0.14,1.1,0.39,15.92987851,0
0.49,-0.148568711,0.53,0.08,0.37,-0.21,17.69444761,0
0.03,-0.15503595,0.83,0.14,0.07,0.06,16.51607622,0
0.05,-0.113052199,0.61,0.35,0.25,0.27,16.37566219,0
0.05,-0.038199239,0.68,0.29,0.84,0.3,16.72702723,0
0.21,-0.143984789,0.53,0.18,0.63,0.32,17.15610729,0
0.14,-0.143025364,0.43,0.36,0.22,0.27,19.30622614,0
0.1,-0.112714623,0.91,0.04,0.48,-0.07,16.32466956,0
0.13,0.018815513,0.67,0.43,0.28,0.25,16.53737379,0
0.11,-0.137464249,0.42,0.12,0.5,0.35,16.20040385,0
0.15,-0.153685648,0.78,0,0.17,0.15,17.62494192,0
0.1,-0.094272332,0.4,0.19,0.28,0.44,16.88819447,0
0.05,-0.142687788,0.77,0.1,0.54,-0.07,16.24225856,0
0.12,-0.136877933,0.48,0.09,0.42,0.19,16.03302675,0
0.17,-0.143291871,0.55,0.13,0.44,0.04,18.53750383,0
0.08,-0.147946861,0.88,0.15,1.23,-0.02,19.94013227,0
0.03,-0.137073372,0.73,0.01,0.63,0.04,16.14394447,0
0.04,-0.08645479,0.39,0.34,1.5,0.45,18.9266779,0
0.08,-0.127834459,0.43,0.05,0.73,0.28,21.45922037,0
0.02,-0.134994616,0.65,0.42,0.38,0.03,16.53091565,0
0.43,-0.130428462,0.67,0.12,0.19,0.3,17.41715605,0
0.23,-0.10322697,0.37,0.38,0.77,0.54,17.9218089,0
0.03,-0.119910315,0.63,0.2,0.43,0.32,16.73655021,0
0.1,-0.119483903,0.45,0.1,0.95,0.33,19.08252402,0
0.04,-0.060656903,0.28,0.47,0.35,0.34,16.19731386,0
0.12,-0.151109412,0.8,0.04,-0.11,0.08,16.77214342,0
0.2,-0.147609286,0.84,0.09,0.27,0.05,16.18097542,0
0.21,-0.111453156,0.29,0.07,0.43,0.45,16.2902768,0
0.16,-0.139720676,0.51,0.22,0.37,0.18,18.74577562,0
0.09,-0.147040737,0.85,0.26,0.21,0.1,16.54181552,0
0.1,-0.147040737,0.89,0.01,0.84,-0.03,15.96800598,0
0.09,-0.14465994,0.34,0.2,0.23,0.51,18.03476329,0
0.03,-0.143860419,0.87,0.11,0.34,0.01,15.9542304,0
0.11,1.112862681,0.08,0.56,0.25,0.56,18.1990135,0
0.03,-0.131423421,0.64,0.32,0.62,0.15,17.34433337,0
0.24,-0.160863572,0.71,0.11,0.01,-0.17,18.14318845,0
0.17,-0.139169894,0.7,0.01,0.47,0.14,16.25139143,0
0.18,-0.14615238,0.81,0.03,0.45,0.16,16.27396696,0
0.11,-0.137748523,0.4,0.12,0.33,0.28,17.37994977,0
0.16,2.566356854,0.22,0.29,0.63,0.71,16.02763174,0
0.08,-0.141461855,0.7,0.32,0.19,0.24,16.50171343,0
0.23,-0.132418381,0.63,0.14,0.52,0.16,16.43361577,0
0.08,0.876737393,0.18,0.46,0.29,0.5,19.12396643,0
0.06,-0.141337485,0.69,0.01,0.8,0.08,16.40605651,0
0.04,-0.108414975,0.56,0.16,0.65,0.27,15.92964708,0
0.1,-0.140591265,0.57,0.28,0.38,0.29,15.95629928,0
0.24,-0.147573751,0.61,0.2,0.19,0.36,17.49464216,0
0.04,-0.139489703,0.53,0.16,0.47,0.35,16.30018977,0
0.32,-0.143842652,0.45,0.04,0.39,-0.25,15.91617357,0
0.08,13.67995154,0.38,0.1,0.52,0.24,17.05608298,0
0.13,-0.147111806,0.69,0.23,0.21,-0.03,16.10861828,0
0.26,-0.134852479,0.63,0.08,0.24,0.25,16.28427089,0
0.11,-0.086365955,0.27,0.05,0.95,0.63,17.32689643,0
0.09,-0.148426574,0.81,0,0.46,-0.3,15.99653224,0
0.39,-0.148035697,0.73,0.07,0.05,0.05,16.54186678,0
0.32,-0.129291365,0.44,0.01,0.46,0.43,17.32817451,0
0.02,-0.098412076,0.4,0.47,0.65,0.34,15.92010583,0
0.12,-0.141923801,0.6,0.18,0.33,0.01,20.86153962,0
0.3,-0.141817198,0.56,0.1,0.37,0.36,16.52375394,0
0.3,-0.131920901,0.53,0.01,0.64,0.21,16.32840439,0
0.42,-0.144340132,0.16,0.55,0.36,0.38,16.32065953,0
0.36,-0.147929094,0.63,0,0.15,0.24,19.02558953,0
0.27,-0.114313666,0.56,0.21,0.9,0.17,18.12629401,0
0.08,-0.146880833,0.93,0.1,0.59,-0.04,16.08048859,0
0.03,-0.132222943,0.47,0.05,1.08,0.3,19.46710486,0
0.19,-0.133324505,0.8,0,0.31,0.02,17.09552302,0
0.04,-0.141515157,0.77,0.19,0.37,0.18,16.76138771,0
0.28,-0.138423674,0.4,0.08,0.12,0.41,16.7700081,0
0.07,-0.119341766,0.43,0.23,0.63,0.23,18.02580431,0
0.12,-0.155959841,0.89,0.1,-0.13,-0.37,17.03657419,0
0.06,-0.1306239,0.49,0.68,0.18,0,17.78328542,0
0.01,-0.117298545,0.72,0.25,0.16,0.19,17.57526572,0
0.16,-0.144890913,0.66,0.21,0.32,0.16,17.47083961,0
0.15,-0.135261124,0.45,0.09,0.45,0.47,17.47172784,0
0.1,-0.147982396,0.76,0.06,0,-0.55,15.9434084,0
0.2,-0.022386484,0.27,0.31,0.46,0.62,16.22904052,0
0.16,-0.142190308,0.34,0.19,0.3,0.5,16.16775458,0
0.06,-0.141319718,0.59,0.2,0.58,0.1,16.16546643,0
0.42,-0.145850339,0.7,0.07,0.22,0.19,16.01512051,0
0.35,-0.140040484,0.85,0.07,0.38,-0.12,16.70444295,0
0.11,-0.124867347,0.28,0.14,0.42,0.43,19.94555684,0
0.26,-0.135083452,0.69,0.04,0.31,0.2,16.69119729,0
0.14,-0.142492349,0.77,0.02,0.45,0.11,16.66250834,0
0.02,-0.154183127,0.7,0.49,-0.18,-0.38,17.19123087,0
0.3,-0.144553338,0.79,0.01,0.57,0.06,16.01423246,0
0.26,-0.144695475,0.74,0.01,0.64,0.18,17.03130709,0
0.02,0.086437247,0.29,0.48,0.31,0.63,18.79025231,0
0.13,-0.038465746,0.26,0.4,0.56,0.65,16.46362772,0
0.06,-0.143789351,0.78,0.06,0.62,0.09,16.37497614,0
0.1,-0.097594787,0.2,0.23,0.55,0.79,16.27784213,0
0.31,-0.145725969,0.55,0.06,0.24,0.17,17.37647033,0
0.23,0.080911666,0.43,0.05,0.8,0.21,17.81255294,0
0.05,-0.087485285,0.79,0.24,0.26,0.16,16.48296346,0
0.05,-0.142083705,0.77,0.35,0.54,-0.17,19.44865161,0
0.2,0.229729229,0.13,0.4,0.25,0.42,18.64136152,0
0.04,0.352997645,0.3,0.14,0.21,0.11,18.3792147,0
0.08,-0.124192195,0.67,0,0.32,0.28,17.25765901,0
0.17,-0.14590364,0.65,0.08,0.26,0.12,16.23841157,0
0.42,-0.138832319,0.62,0.4,0.42,0.2,19.11627408,0
0.05,-0.1418705,0.68,0.2,0.17,0.18,16.34385203,0
0.11,-0.141586225,0.62,0.17,0.47,0.19,16.51398889,0
0.2,-0.119021958,0.43,0.05,0.51,0.37,17.41363649,0
0.1,-0.142048171,0.72,0.11,0.3,0.13,16.82982113,0
0.02,-0.141710595,0.84,0.41,0.51,0.02,21.06572419,0
0.52,-0.09795013,0.09,0.78,0.06,0.5,17.26655979,0
0.12,-0.13037516,0.55,0.04,0.51,0.41,16.56338462,0
0.22,-0.146223449,0.73,0.06,0.39,0.23,18.3508444,0
