Ratio1,Ratio2,Ratio3,Ratio4,Ratio5,Ratio6,Ratio7,budo_indx
0.23,-0.10322697,0.37,0.38,0.77,0.54,17.9218089,0
0.08,-0.142065938,0.73,0.01,0.45,0.02,16.90160904,0
0.13,-0.125791238,0.33,0.48,1.26,0.59,16.85599103,0
0.1,-0.132951395,0.4,0.21,0.57,0.58,17.31007648,0
0.06,-0.144748776,0.58,0.04,0.47,0.32,16.38180977,0
0.19,-0.147627053,0.63,0.17,0.46,0.11,18.3687922,0
0.04,-0.138548044,0.83,0.18,0.57,0.07,16.29703115,0
0.17,-0.143505076,0.27,0.12,0.11,-0.05,17.83827541,0
0.08,0.03311806,0.22,0.38,0.53,0.77,18.03496595,0
0.02,-0.14465994,0.44,0.76,0.98,0.51,16.24809031,0
0.05,0.401963883,0.22,0.48,1.22,0.74,24.6460066,0
0.25,-0.148373273,0.89,0,1.54,0.07,16.29164963,0
0.09,-0.141408554,0.62,0.29,0.32,0.29,17.01166696,0
0.11,-0.137215509,0.38,0.14,0.37,0.27,18.36397985,0
0.24,-0.145885873,0.63,0.24,0.43,0.25,18.03829257,0
0.29,-0.155142553,1.08,0.1,0.26,-0.18,15.97208558,0
0.04,-0.105732137,0.4,0.38,0.67,0.44,16.13246955,0
0.35,-0.105661069,0.49,0.13,0.59,0.49,17.01381095,0
0.16,-0.114011624,0.62,0.24,0.56,0.38,16.16925491,0
0.26,-0.141692828,0.61,0.03,0.47,0.17,16.55141539,0
0.12,-0.141781664,0.41,0.11,0.61,0.17,19.2929349,0
0.07,-0.131920901,0.66,0.26,0.64,0.25,16.40849134,0
0.47,-0.152406413,0.88,0.51,-0.1,-0.17,17.41943249,0
0.08,-0.141461855,0.7,0.32,0.19,0.24,16.50171343,0
0.03,-0.001989808,0.48,0.19,0.43,0.47,16.85884772,0
0.07,-0.13273819,0.5,0.01,0.61,0.08,21.07092014,0
0.1,-0.13764192,0.25,0.25,1.59,0.21,16.91568347,0
0.25,-0.115557365,0.28,0.21,0.3,0.17,16.40075186,0
0.03,0.56634546,0.35,0.77,0.41,0.61,16.90013185,0
0.06,-0.179270329,0.42,0.06,0.01,0.57,16.49928767,0
0.06,-0.148213368,0.55,0.08,0.64,0.16,17.19020187,0
0.02,-0.148533177,0.94,0.28,0.64,-0.02,16.08235707,0
0.12,-0.15665276,0.9,0,-0.01,-0.04,16.53390593,0
0.17,-0.139223196,0.85,0.5,1.04,0.03,15.90427922,0
0.16,-0.123090633,0.22,0.25,0.93,0.15,17.78669021,0
0.23,0.282124525,0.24,0.3,0.32,0.37,16.95509371,0
0.21,-0.101841134,0.69,0.3,0.27,0.19,17.71190225,0
0.03,-0.001900972,0.28,0.22,0.44,0.27,18.63328975,0
0.02,-0.133093532,0.77,0.08,0.19,0.13,17.21704931,0
0.07,-0.140484663,0.5,0.07,1.52,0.03,18.93405473,0
0.17,-0.146845299,0.89,0.26,0.81,0.03,16.14334372,0
0.15,0.08256401,0.15,0.5,0.34,0.4,17.07636095,0
0,-0.132151874,0.68,0.08,0.45,0.26,17.07149687,0
0.11,-0.134994616,0.73,0.03,1.01,0.07,16.78999121,0
0.27,-0.124529771,0.24,0.13,0.87,0.39,18.65133426,0
0.05,0.111719887,0.23,0.66,0.33,0.71,17.99628772,0
0.09,-0.027236914,0.23,0.1,0.48,0.31,17.46727551,0
0.07,-0.02458961,0.62,0.02,0.97,0.17,16.27778511,0
0.13,-0.133821985,0.66,0.35,0.6,0.29,16.00375841,0
0.05,-0.141675061,0.59,0.06,0.64,0.04,17.24771275,0
0.23,-0.129611173,0.22,0.24,0.31,0.33,18.77575643,0
0.14,-0.14465994,0.22,0.45,1.19,0.42,17.67018736,0
0.11,-0.14465994,0.56,0.39,1.37,0.32,19.02451237,0
0.06,-0.142652254,0.86,0.25,0.26,0.07,16.17560956,0
0.07,-0.128651748,0.68,0.17,0.58,0,16.15938873,0
0.06,-0.154094292,0.46,0.28,0.22,0.3,15.92056465,0
0.57,-0.14465994,0.11,0.04,0.67,0.73,19.79394096,0
0.19,-0.144588872,0.64,0.24,0.25,0.18,17.15418594,0
0.29,-0.143522844,0.8,0.01,0.17,0.02,16.47551769,0
0.01,-0.135492096,0.72,0.18,0.5,0.17,16.27932533,0
0.12,-0.142385747,0.73,0.06,0.32,0.15,18.26716004,0
0.12,-0.108112934,0.57,0.21,0.53,0.37,16.67251918,0
0.41,-0.14503305,0.84,0.03,0.3,-0.05,16.60902799,0
0.01,-0.113336473,0.18,0.25,0.3,0.68,15.91146402,0
0.01,-0.126732896,0.74,0.15,0.24,0.23,18.35491785,0
0.1,-0.146241216,0.62,0.17,0.54,0.13,20.06654346,0
0.12,-0.144357899,0.67,0.01,0.36,0.2,16.5931566,0
0.12,-0.135385494,0.72,0.14,0.53,0.11,16.2652767,0
0.38,-0.141284184,0.66,0.02,0.2,0.28,18.35470609,0
