,Unnamed: 0,k,year,Ratio1,Ratio2,Ratio3,Ratio4,Ratio5,Ratio6,Ratio7,budo_indx
0,10076,10077,2003,0.1385,-0.11335379596981504,0.563,0.18125000000000002,0.46475,0.2525,16.783929068906705,0
1,18070,18071,2003,0.09925,0.2504363867356716,0.485,0.21950000000000003,0.38725,0.3045,17.900215718895403,0
2,4249,4250,2003,0.18673913043478263,0.006782910544345667,0.5547826086956522,0.22869565217391305,0.37543478260869567,0.19456521739130436,16.858396366437773,0
3,14881,14882,2003,0.16323529411764706,0.38835007314138453,0.4726470588235294,0.2,0.4702941176470588,0.20794117647058824,18.49666972333278,0
4,544,545,2003,0.11723404255319149,-0.12656127341090653,0.5663829787234043,0.2119148936170213,0.43872340425531914,0.2827659574468085,16.79284419879897,0
5,20104,20105,2003,0.1675,0.1705162384680719,0.49225,0.20900000000000002,0.6220000000000001,0.351,16.594014612081427,0
6,6824,6825,2003,0.14583333333333337,-0.09591542228166619,0.6289583333333333,0.24000000000000002,0.4202083333333333,0.130625,16.6905977087302,0
7,12695,12696,2003,0.22388888888888892,-0.12899919380929858,0.4555555555555556,0.19555555555555557,0.4625,0.17250000000000001,18.478275751238186,0
8,1399,1400,2003,0.1358139534883721,-0.07171550185444442,0.5755813953488372,0.17418604651162792,0.5465116279069767,0.29348837209302325,16.413407599531446,0
9,21964,21965,2003,0.12545454545454546,-0.10854822883125319,0.639090909090909,0.19045454545454546,0.4631818181818182,0.18977272727272726,16.81442868915156,0
10,16642,16643,2003,0.12181818181818183,-0.1270656264936291,0.5334090909090909,0.24431818181818182,0.3402272727272727,0.24045454545454548,17.52441648172232,0
11,8371,8372,2003,0.09861111111111114,-0.1179263174579441,0.6208333333333333,0.21444444444444444,0.5575,0.1597222222222222,16.870669417448607,0
12,2733,2734,2003,0.12416666666666668,0.18409186322668958,0.5586111111111112,0.21333333333333335,0.5641666666666667,0.30166666666666664,17.005927604175955,0
13,11514,11515,2004,0.10285714285714287,0.45667652068080106,0.5942857142857143,0.1954761904761905,0.5076190476190476,0.24833333333333332,16.715597827270805,0
14,5403,5404,2003,0.09297297297297298,0.14125271479072285,0.5545945945945946,0.25351351351351353,0.5254054054054054,0.17891891891891892,17.449071320554463,0
15,19115,19116,2003,0.1336842105263158,-0.13155714243410271,0.5539473684210526,0.10315789473684212,0.3442105263157895,0.2473684210526316,17.614127531668245,0
16,13642,13643,2003,0.0730555555555556,-0.051503371767992766,0.5380555555555555,0.2177777777777778,0.5213888888888889,0.21972222222222224,17.161574965491962,0
17,9047,9048,2003,0.16073170731707317,-0.03561737002124505,0.6317073170731707,0.2082926829268293,0.4929268292682927,0.15463414634146344,16.684225203061484,0
18,15846,15847,2004,0.09564102564102565,-0.042997733226434465,0.5458974358974359,0.21538461538461537,0.3720512820512821,0.14794871794871794,16.619241682830886,0
19,20757,20758,2003,0.11785714285714285,0.012298779791781608,0.6142857142857143,0.26095238095238094,0.3388095238095239,0.22261904761904763,16.895725805107876,0
20,7433,7434,2003,0.1325,0.07650048048358314,0.5883333333333334,0.20722222222222222,0.5258333333333334,0.2816666666666667,17.103272448285086,0
21,3645,3646,2003,0.12304347826086957,0.007603288912699705,0.537608695652174,0.16086956521739132,0.4880434782608696,0.28695652173913044,16.658651265909494,0
22,10922,10923,2004,0.13625,0.19151344428876677,0.5465,0.22775,0.4125,0.07550000000000001,16.89337810714634,0
23,17043,17044,2003,0.11357142857142857,0.27782106967821596,0.49642857142857144,0.22833333333333333,0.4419047619047619,0.3245238095238095,17.270530219318946,0
24,1881,1882,2003,0.11232558139534884,0.19047211429078464,0.5827906976744186,0.2590697674418605,0.4388372093023256,0.2827906976744186,17.323013235415633,0
25,6244,6245,2003,0.12326530612244899,-0.1213371248407788,0.649795918367347,0.25571428571428567,0.46938775510204084,0.19081632653061226,16.505363994714077,0
26,21452,21453,2003,0.1392105263157895,0.07057539911236263,0.6089473684210526,0.15394736842105264,0.4218421052631579,0.2576315789473684,17.275813899972437,0
27,14235,14236,2003,0.12439024390243902,0.36701548539505785,0.45487804878048776,0.19317073170731708,0.6375609756097562,0.27902439024390246,17.615604579509903,0
28,4879,4880,2003,0.11795454545454545,-0.11757272445593019,0.5952272727272727,0.20931818181818185,0.4725,0.19545454545454546,16.87354546800651,0
29,13146,13147,2003,0.22159090909090912,-0.13906329144509919,0.5663636363636364,0.21272727272727274,0.4713636363636364,0.2427272727272727,17.13427697557522,0
30,12116,12117,2003,0.10142857142857144,-0.13235383930350028,0.46877551020408165,0.2708163265306123,0.6044897959183673,0.33163265306122447,17.534862922622917,0
31,9627,9628,2003,0.10902439024390244,-0.13527629059754845,0.7048780487804878,0.15731707317073174,0.4475609756097561,0.11682926829268292,17.090629614169494,0
32,19538,19539,2003,0.1526829268292683,-0.1355154969675963,0.7312195121951219,0.10975609756097557,0.3546341463414634,0.08878048780487804,16.736544869826623,0
33,17484,17485,2003,0.10553191489361702,-0.08540841935743795,0.5476595744680851,0.14042553191489363,0.3878723404255319,0.2419148936170213,17.357674427655834,0
34,18563,18564,2003,0.18977777777777777,-0.12211383489714778,0.5711111111111111,0.19933333333333333,0.36866666666666664,0.14977777777777773,16.95316855510682,0
35,21,22,2003,0.18930232558139537,-0.11301046665256227,0.5723255813953488,0.17930232558139536,0.4079069767441861,0.12325581395348838,16.72488055258081,0
36,7966,7967,2003,0.13029411764705884,-0.1054671977640173,0.5429411764705883,0.20705882352941177,0.5502941176470588,0.25882352941176473,16.54649036888304,0
