,fold,train/test,ratio1,ratio2,ratio3,ratio4,ratio5,ratio6,ratio7,target,predict,estm 0 proba 0,estm 0 proba 1,estm 1 proba 0,estm 1 proba 1,estm 2 proba 0,estm 2 proba 1,estm 3 proba 0,estm 3 proba 1,estm 4 proba 0,estm 4 proba 1,estm 5 proba 0,estm 5 proba 1
58,1,train,0.15,-0.140271457,0.82,0.01,0.37,-0.04,16.89629627,0,True,0.5122943157622266,0.48770568423777333,0.471204799522568,0.528795200477432,0.5038804919200961,0.4961195080799039,0.38533641553039855,0.6146635844696015,0.4654610590516469,0.5345389409483531,0.5096781678009066,0.49032183219909337
59,1,train,0.21,-0.1468986,0.46,0.64,0.13,0.04,15.9227342,0,False,0.5272854480160217,0.47271455198397827,0.4724685367439252,0.5275314632560748,0.5254827592239124,0.4745172407760876,0.3819145796363128,0.6180854203636872,0.4627959102629883,0.5372040897370117,0.5093947779411354,0.49060522205886453
60,1,train,0.11,0.074515496,0.11,0.36,0.22,0.76,19.55301652,0,False,0.5459770799988325,0.4540229200011675,0.47654637784941245,0.5234536221505875,0.5540176613444602,0.4459823386555398,0.3852145951948681,0.6147854048051319,0.4839426344414014,0.5160573655585986,0.5099723177077577,0.4900276822922422
61,1,train,0.37,-0.173371638,0.57,0.11,-0.11,-0.46,16.85927695,0,True,0.505608241740443,0.49439175825955695,0.4734859221649873,0.5265140778350127,0.4962579178424781,0.5037420821575219,0.38021977587139566,0.6197802241286043,0.4517919326955059,0.5482080673044941,0.5093627800797047,0.49063721992029524
62,1,train,0.04,-0.144126926,0.6,0.15,0.26,0.27,16.88347326,0,False,0.5222438648143022,0.47775613518569776,0.4719387489863669,0.5280612510136331,0.521973922021555,0.478026077978445,0.3856290983905364,0.6143709016094636,0.4711262051811268,0.5288737948188732,0.5093359270600315,0.49066407293996855
63,1,train,0.11,-0.14577927,0.63,0.15,0.75,0.29,17.02664203,0,False,0.5309740530633504,0.4690259469366496,0.47125513614735504,0.528744863852645,0.525600582525943,0.474399417474057,0.38693634828687273,0.6130636517131273,0.47883685444627877,0.5211631455537212,0.5099134168080124,0.4900865831919876
64,1,train,0.12,-0.136877933,0.65,0.1,0.26,0.04,16.02064676,0,False,0.5157989710785924,0.4842010289214076,0.4708408044550889,0.5291591955449111,0.5145308906050569,0.48546910939494314,0.3851283521390819,0.6148716478609181,0.4660706365341746,0.5339293634658254,0.5091757954281915,0.4908242045718085
65,1,train,0.0,-0.133129067,0.53,0.08,0.53,0.33,16.56976937,0,False,0.5277479482414653,0.47225205175853474,0.471061455066333,0.528938544933667,0.5292953813821644,0.4707046186178356,0.38695854477238734,0.6130414552276127,0.47821795597700334,0.5217820440229967,0.5093492134199251,0.4906507865800749
66,1,train,0.12,-0.120354493,0.37,0.2,1.97,0.33,16.73070354,0,False,0.5574382414489343,0.4425617585510657,0.4695087746786487,0.5304912253213513,0.5498626894591845,0.45013731054081546,0.38921453101613757,0.6107854689838624,0.5034364292823121,0.4965635707176879,0.510753553919651,0.48924644608034895
67,1,train,0.25,-0.14162176,0.36,0.13,0.42,0.41,16.27908768,0,False,0.5324192436621815,0.4675807563378184,0.4718786751477104,0.5281213248522896,0.5388018185604759,0.461198181439524,0.38634414671919115,0.6136558532808088,0.4753517134746601,0.5246482865253399,0.5091883859435342,0.49081161405646573
68,1,train,0.13,-0.143824885,0.77,0.08,0.25,0.12,16.60910058,0,True,0.5146237965440552,0.48537620345594473,0.47118458090918247,0.5288154190908175,0.5109575771190084,0.48904242288099165,0.3857754185295692,0.6142245814704308,0.46600430348028865,0.5339956965197113,0.5094196329558831,0.4905803670441169
69,1,train,0.14,-0.142190308,0.53,0.11,0.59,0.4,17.65058798,0,False,0.5323744718921064,0.4676255281078936,0.47251300064734825,0.5274869993526518,0.5296105069051245,0.4703894930948755,0.3866457550441128,0.6133542449558872,0.4786072329724659,0.5213927670275341,0.5098362561818461,0.49016374381815386
70,1,train,0.01,0.395478877,0.5,0.73,0.73,0.47,16.66957805,0,False,0.5422087387981411,0.4577912612018588,0.47285927915651504,0.527140720843485,0.549451335060904,0.450548664939096,0.38783026251598685,0.6121697374840132,0.48748409534802606,0.5125159046519739,0.5102372079157305,0.4897627920842696
71,1,train,0.01,-0.137108906,0.98,0.14,1.04,-0.02,16.31428946,0,True,0.5217252963664052,0.47827470363359476,0.4685968157828003,0.5314031842171997,0.5072734984755429,0.49272650152445713,0.38765830234332055,0.6123416976566795,0.47692841964185606,0.5230715803581439,0.5102706841144513,0.48972931588554863
72,1,train,0.17,0.040811232,0.15,0.4,0.33,0.49,17.34553923,0,False,0.5412265110334824,0.4587734889665176,0.474457483815505,0.525542516184495,0.550407425685008,0.44959257431499206,0.38482482949669616,0.6151751705033038,0.47969554176777685,0.5203044582322232,0.5095342689137538,0.49046573108624625
73,1,train,0.32,-0.146365586,0.72,0.1,0.36,0.03,16.49488285,0,True,0.5172481571440027,0.48275184285599726,0.4714162852942041,0.5285837147057959,0.5114204571013072,0.4885795428986927,0.3851441678902169,0.6148558321097831,0.4644883291852956,0.5355116708147044,0.5096360809011731,0.49036391909882693
74,1,train,0.08,-0.140573498,0.67,0.3,1.05,0.2,17.18890972,0,False,0.5364322455914696,0.4635677544085303,0.4710742987299019,0.5289257012700981,0.5248526222004628,0.47514737779953714,0.38650079920985214,0.6134992007901479,0.48254400022829924,0.5174559997717008,0.5103469309259264,0.4896530690740736
75,1,train,0.03,0.089066784,0.76,0.49,0.16,0.04,16.02995873,0,False,0.5166187129171556,0.4833812870828444,0.47152498573741697,0.528475014262583,0.5157458138462312,0.48425418615376886,0.38475936485161855,0.6152406351483815,0.4653125369483472,0.5346874630516528,0.5095486714898863,0.4904513285101137
76,1,train,0.04,-0.127425815,0.46,0.22,0.39,0.47,16.39494208,0,False,0.5313524185785639,0.4686475814214362,0.47154348905586463,0.5284565109441354,0.5373187079205284,0.4626812920794716,0.3867766949470972,0.6132233050529028,0.4774750512436776,0.5225249487563224,0.5091875416257632,0.4908124583742368
77,1,train,0.03,-0.152388646,0.75,0.48,0.49,0.17,16.18998785,0,False,0.5260385273838266,0.4739614726161734,0.4706768097266082,0.5293231902733918,0.519930247892325,0.480069752107675,0.3851681210819079,0.6148318789180921,0.47076373894973056,0.5292362610502694,0.5097626824005401,0.4902373175994599
