,fold,train/test,ratio1,ratio2,ratio3,ratio4,ratio5,ratio6,ratio7,target,predict,estm 0 proba 0,estm 0 proba 1,estm 1 proba 0,estm 1 proba 1,estm 10 proba 0,estm 10 proba 1,estm 11 proba 0,estm 11 proba 1,estm 12 proba 0,estm 12 proba 1,estm 13 proba 0,estm 13 proba 1,estm 14 proba 0,estm 14 proba 1,estm 15 proba 0,estm 15 proba 1,estm 16 proba 0,estm 16 proba 1,estm 17 proba 0,estm 17 proba 1,estm 18 proba 0,estm 18 proba 1,estm 19 proba 0,estm 19 proba 1,estm 2 proba 0,estm 2 proba 1,estm 3 proba 0,estm 3 proba 1,estm 4 proba 0,estm 4 proba 1,estm 5 proba 0,estm 5 proba 1,estm 6 proba 0,estm 6 proba 1,estm 7 proba 0,estm 7 proba 1,estm 8 proba 0,estm 8 proba 1,estm 9 proba 0,estm 9 proba 1
1369,1,train,0.0644444444444444,0.2671389293935096,0.5066666666666667,0.3077777777777777,0.3277777777777778,0.1933333333333333,16.416433136290156,0,0,0.9103510800532936,0.08964891994670646,0.8576210115998262,0.14237898840017377,0.8304058137894599,0.16959418621054018,0.6748891127094042,0.3251108872905958,0.6260886031469433,0.37391139685305674,0.7228543936132693,0.2771456063867307,0.8911429348485873,0.10885706515141272,0.5905252769488423,0.4094747230511577,0.8561741430176786,0.14382585698232148,0.7631627311353244,0.23683726886467554,0.7250689225180508,0.2749310774819492,0.7358215746863117,0.26417842531368835,0.8857176327392104,0.11428236726078951,0.9009196408617582,0.09908035913824176,0.8827743642432304,0.11722563575676959,0.8355878088712313,0.16441219112876868,0.8816746778228174,0.11832532217718263,0.7572271535933255,0.24277284640667446,0.7241958909156403,0.2758041090843597,0.7987363374604932,0.20126366253950678
1370,1,train,0.18,-0.1439457014633145,0.748,0.213,0.389,0.0379999999999999,16.090262433544535,0,1,0.5216405759842487,0.47835942401575127,0.22347041022081526,0.7765295897791847,0.4397213890233488,0.5602786109766512,0.4741885679734903,0.5258114320265097,0.44997935613530693,0.5500206438646931,0.32415241196780975,0.6758475880321902,0.5099776678087342,0.4900223321912658,0.4805953664671416,0.5194046335328584,0.5634878507933254,0.4365121492066745,0.41919052808064994,0.5808094719193501,0.5897817011002653,0.41021829889973477,0.4218140522784388,0.5781859477215612,0.46468091484339613,0.5353190851566039,0.303270762162553,0.696729237837447,0.3370379593470816,0.6629620406529184,0.5209147814182965,0.4790852185817035,0.3889238651307866,0.6110761348692134,0.4926239184698551,0.5073760815301449,0.4646614826204096,0.5353385173795904,0.39487024871305276,0.6051297512869472
1371,1,train,0.45,-0.1468275315395683,1.18,0.02,0.39,-0.48,16.12374108546303,1,1,0.004462095862200699,0.9955379041377993,0.021131124944666846,0.9788688750553332,0.002037522340305742,0.9979624776596943,0.0014901242973031081,0.9985098757026969,0.005972420972701675,0.9940275790272983,0.009091748265848243,0.9909082517341518,0.0028262105455599817,0.99717378945444,0.0044252627715624104,0.9955747372284376,0.0038005182412600425,0.99619948175874,0.003735073719411841,0.9962649262805882,0.025154483998830024,0.97484551600117,0.007886298234540345,0.9921137017654597,0.002911911575442905,0.9970880884245571,0.005334723081539372,0.9946652769184606,0.0012078440292576653,0.9987921559707423,0.0023983837076918535,0.9976016162923081,0.000899289351467436,0.9991007106485326,0.0061015405106243925,0.9938984594893756,0.007686141743460828,0.9923138582565392,0.005725360610699837,0.9942746393893002
1372,1,train,0.17,1.4092896410782414,0.3054545454545455,0.1272727272727272,0.3454545454545454,0.1645454545454545,18.134203181697902,0,0,0.9190100964065324,0.0809899035934676,0.8867312446984699,0.1132687553015301,0.9868555650187469,0.013144434981253028,0.6894684536282228,0.31053154637177716,0.6281000630713606,0.37189993692863943,0.9208065271726293,0.07919347282737069,0.9923729830568805,0.007627016943119538,0.5956949831969054,0.40430501680309466,0.9463033220699398,0.053696677930060194,0.9691415201873284,0.03085847981267159,0.7438437029779443,0.2561562970220556,0.9616351548323667,0.038364845167633325,0.9061702016910029,0.09382979830899711,0.9556712645302851,0.04432873546971494,0.9614223204449743,0.03857767955502571,0.9414640388057043,0.05853596119429567,0.97704310522106,0.022956894778939977,0.9239059144051253,0.07609408559487474,0.8830768603650041,0.11692313963499587,0.8962814837203836,0.10371851627961638
1373,1,train,0.13,-0.1465787915823084,0.15,0.0,0.13,0.38,16.34625428569284,1,0,0.9124961947615075,0.08750380523849252,0.8545325308252525,0.14546746917474754,0.7286757160878883,0.27132428391211166,0.6696218892419057,0.33037811075809426,0.6267284807462574,0.3732715192537426,0.6250774184871133,0.37492258151288665,0.7624284768455438,0.23757152315445615,0.5933088648757696,0.40669113512423044,0.7449947281374941,0.2550052718625059,0.5690836637336957,0.4309163362663043,0.6694342822186624,0.3305657177813376,0.5807954805998172,0.4192045194001828,0.8844592024456444,0.11554079755435559,0.8651242415370419,0.13487575846295802,0.8864182178213142,0.11358178217868573,0.7930611941994788,0.20693880580052113,0.8269300490311585,0.17306995096884148,0.7356054415751541,0.264394558424846,0.6973928433675769,0.30260715663242316,0.8007920684909106,0.19920793150908947
1374,1,train,0.1190909090909091,-0.1412680319753571,0.7318181818181818,0.2754545454545454,0.5654545454545454,0.1409090909090909,16.577488647382012,0,0,0.8537924030897722,0.14620759691022778,0.7627546290823594,0.23724537091764067,0.5550226040720194,0.4449773959279805,0.625583380481885,0.374416619518115,0.5817920457239171,0.4182079542760829,0.528977893948564,0.471022106051436,0.6257489208281477,0.37425107917185224,0.5672590726012218,0.43274092739877823,0.6486014131163094,0.35139858688369063,0.48903346751407395,0.510966532485926,0.6516684442353415,0.3483315557646585,0.4886125728146554,0.5113874271853446,0.7782099964120006,0.22179000358799933,0.6281472876076231,0.37185271239237694,0.5899152911330988,0.4100847088669012,0.6760118123755917,0.3239881876244083,0.621706170276229,0.378293829723771,0.5370859000423417,0.4629140999576583,0.6544088838303582,0.3455911161696418,0.5395545980422228,0.46044540195777717
1375,1,train,0.06,-0.1453883932154218,0.75,0.09,0.42,0.15,17.32624145619193,1,0,0.8238441642369706,0.17615583576302943,0.5647879137105187,0.43521208628948127,0.523511504388035,0.47648849561196505,0.5878714346771143,0.4121285653228856,0.5482140363545961,0.4517859636454039,0.46831213577922437,0.5316878642207756,0.5833901773214418,0.41660982267855823,0.5475319418134905,0.4524680581865095,0.6349220282665609,0.36507797173343914,0.4696215712605918,0.5303784287394082,0.6577206151190409,0.34227938488095916,0.4675167646773295,0.5324832353226705,0.7286800708571759,0.27131992914282416,0.5592164471844163,0.4407835528155836,0.5759267678441446,0.4240732321558554,0.6643599710003847,0.33564002899961526,0.5104473806118548,0.48955261938814515,0.5266322208099099,0.47336777919009015,0.5877288104172125,0.41227118958278747,0.5272862349715945,0.4727137650284054
1376,1,train,0.0583333333333333,0.0013667009729237,0.6891666666666667,0.115,0.52,0.1516666666666666,16.628801879745254,0,0,0.8814749258186396,0.11852507418136042,0.7953551027223209,0.2046448972776791,0.6237586374109049,0.37624136258909513,0.644458752966794,0.355541247033206,0.5943385281093136,0.4056614718906863,0.5772793340553968,0.42272066594460317,0.7120056415246353,0.2879943584753647,0.5759619246315804,0.42403807536841964,0.7149912139399808,0.2850087860600192,0.5385700930030806,0.4614299069969195,0.6805509818145705,0.31944901818542953,0.5419199422891319,0.4580800577108681,0.8263662926428749,0.1736337073571251,0.7091555571178179,0.2908444428821822,0.7167605827898209,0.28323941721017915,0.7372699282064239,0.26273007179357605,0.6706209192895272,0.3293790807104729,0.5760572969434081,0.4239427030565919,0.6682275272245068,0.3317724727754931,0.617939127527659,0.382060872472341
1377,1,train,0.14375,-0.1441269262893181,0.57625,0.31375,0.1837499999999999,0.1775,17.181373986612698,0,0,0.8493831262853778,0.15061687371462215,0.6245599460910869,0.37544005390891305,0.5750373516841377,0.4249626483158623,0.6002684568071424,0.3997315431928576,0.6060296127214788,0.39397038727852113,0.2986069711190441,0.7013930288809559,0.6371693642247946,0.3628306357752053,0.5621337418183864,0.4378662581816136,0.6785380339105175,0.3214619660894825,0.4970320653705096,0.5029679346294904,0.6041989057649948,0.39580109423500515,0.4961150246903998,0.5038849753096002,0.7905461425977914,0.20945385740220857,0.6490083057216514,0.3509916942783487,0.6769158786239459,0.32308412137605413,0.6806123545607909,0.3193876454392091,0.5977698387672938,0.40223016123270616,0.5734518021055013,0.42654819789449866,0.6032681328865391,0.39673186711346087,0.5638640312286728,0.4361359687713272
1378,1,train,0.0342857142857142,-0.088660453983194,0.5385714285714286,0.3357142857142857,0.4614285714285714,0.3857142857142857,16.400818767424557,0,0,0.9119103597150842,0.0880896402849159,0.8568962196812729,0.1431037803187271,0.6884839754270591,0.3115160245729409,0.6745390440152192,0.3254609559847807,0.6257044124362598,0.3742955875637402,0.6354794323374966,0.3645205676625034,0.7660819838939774,0.23391801610602259,0.5902732630398231,0.409726736960177,0.7350637205142247,0.2649362794857752,0.5524980161875936,0.4475019838124064,0.722014184883049,0.277985815116951,0.5663692656313757,0.4336307343686243,0.8819156435470895,0.11808435645291046,0.8629858021429844,0.13701419785701563,0.8607475167229587,0.13925248327704132,0.8074513448887777,0.1925486551112223,0.8141245251036702,0.18587547489632983,0.6833288730617592,0.31667112693824084,0.700501424786715,0.299498575213285,0.7436453022487539,0.2563546977512461
