,fold,train/test,ratio1,ratio2,ratio3,ratio4,ratio5,ratio6,ratio7,target,predict,total_proba,estm 0 proba 0,estm 0 proba 1,estm 1 proba 0,estm 1 proba 1,estm 2 proba 0,estm 2 proba 1,estm 3 proba 0,estm 3 proba 1,estm 4 proba 0,estm 4 proba 1,estm 5 proba 0,estm 5 proba 1,estm 6 proba 0,estm 6 proba 1,estm 7 proba 0,estm 7 proba 1,estm 8 proba 0,estm 8 proba 1,estm 9 proba 0,estm 9 proba 1,estm 10 proba 0,estm 10 proba 1,estm 11 proba 0,estm 11 proba 1,estm 12 proba 0,estm 12 proba 1,estm 13 proba 0,estm 13 proba 1
1701,26.0,test,0.01,-0.129024857,0.79,0.04,1.29,0.18,15.93529658,0.0,0.0,0.40222969573937895,0.7795492009221002,0.22045079907789977,0.5388397674446591,0.4611602325553409,0.777240684130538,0.22275931586946193,0.7357317844682918,0.26426821553170815,0.2438037058468041,0.7561962941531959,0.44065372298758343,0.5593462770124166,0.4390999241342364,0.5609000758657636,0.3530312510734199,0.6469687489265801,0.5551304431669207,0.44486955683307927,0.6405116240365359,0.35948837596346406,0.46772588200350496,0.532274117996495,0.6385989879103393,0.36140101208966063,0.4994315063708912,0.5005684936291088,0.4919425231504956,0.5080574768495044
1702,26.0,test,0.0,-0.148781917,0.87,0.19,0.24,0.12,16.29889864,0.0,1.0,0.5165666485768768,0.4854995442999259,0.5145004557000741,0.5086326307787863,0.49136736922121366,0.3088204420836016,0.6911795579163984,0.5214571467166476,0.47854285328335244,0.7055524982087769,0.2944475017912231,0.4606621058316074,0.5393378941683926,0.26719085258703335,0.7328091474129667,0.4435930851521389,0.5564069148478611,0.5218590521187727,0.47814094788122735,0.60220421514549,0.39779578485451,0.5666754322776517,0.43332456772234834,0.2991142323463505,0.7008857676536495,0.6883845199990257,0.31161548000097433,0.4461134027030519,0.5538865972969481
1703,26.0,test,0.27,-0.144411201,0.88,0.09,0.3,0.1,16.02258777,0.0,1.0,0.5650542823148603,0.17477384957347264,0.8252261504265274,0.46876533022639166,0.5312346697736083,0.47669013142521777,0.5233098685747822,0.6460452078079222,0.35395479219207787,0.43509020386897157,0.5649097961310284,0.5328063125371022,0.4671936874628978,0.5190419515551545,0.4809580484448455,0.45760014960425843,0.5423998503957416,0.4660353723054669,0.5339646276945331,0.37955427278485654,0.6204457272151435,0.6856500125451586,0.31434998745484144,0.7948864197287832,0.20511358027121684,0.4564206481810472,0.5435793518189528,0.5107217261188899,0.4892782738811101
1704,26.0,test,0.23,-0.147111806,0.48,0.41,0.13,0.34,16.55951409,0.0,0.0,0.4174626275083574,0.7468966941593638,0.25310330584063623,0.6555273365323818,0.3444726634676182,0.5082143833654129,0.49178561663458714,0.5386751036802094,0.46132489631979057,0.4897336026214386,0.5102663973785614,0.7512585478331647,0.24874145216683533,0.4316644384709012,0.5683355615290988,0.4624465229687651,0.5375534770312349,0.5298345876747244,0.4701654123252757,0.47463249627588977,0.5253675037241102,0.6297958172194171,0.3702041827805828,0.6428668886623269,0.3571331113376731,0.3353219359817389,0.6646780640182611,0.4802844532787658,0.5197155467212342
1705,26.0,test,0.07,-0.132915861,0.83,0.25,0.73,0.13,17.51326422,0.0,0.0,0.42208650511455226,0.7807894126965628,0.21921058730343723,0.6606104794078668,0.33938952059213323,0.6145886010712389,0.38541139892876103,0.16851144608243995,0.83148855391756,0.8129631932588806,0.18703680674111942,0.3679757068451647,0.6320242931548353,0.4367240500154922,0.5632759499845078,0.6224278482265588,0.3775721517734411,0.5117261186311449,0.4882738813688551,0.46503392985547976,0.5349660701445202,0.2533347335907514,0.7466652664092486,0.5368180341968435,0.4631819658031565,0.5225387895971212,0.47746121040287876,0.5563166948529421,0.4436833051470579
1706,26.0,test,0.66,-0.146489956,0.63,0.2,0.23,-0.02,17.04323175,0.0,1.0,0.5852875842138947,0.1621953349819153,0.8378046650180847,0.3727029679886191,0.6272970320113809,0.6655283249736426,0.33447167502635744,0.32698348765928276,0.6730165123407172,0.5464742759882676,0.4535257240117324,0.3637673689181441,0.6362326310818559,0.4534478739378287,0.5465521260621713,0.6445653575696084,0.35543464243039163,0.45603023261824804,0.543969767381752,0.3983615735124071,0.6016384264875929,0.5869957557414107,0.4130042442585892,0.6630115206608532,0.3369884793391468,0.500057817318527,0.49994218268147295,0.41254066102552656,0.5874593389744734
1707,26.0,test,0.26,-0.143593912,0.64,0.27,0.3,0.3,16.26374622,0.0,0.0,0.4120024368765788,0.7270481063287035,0.27295189367129646,0.8012201975634833,0.1987798024365167,0.40209363841866075,0.5979063615813393,0.7576397095655593,0.24236029043444077,0.41049889548279705,0.589501104517203,0.6301797978050823,0.3698202021949177,0.5863799475543567,0.4136200524456433,0.6562680003020758,0.34373199969792423,0.38445006497367806,0.6155499350263219,0.3474256344292782,0.6525743655707218,0.5293867420635276,0.4706132579364724,0.5992891542055556,0.4007108457944444,0.3607131494565299,0.6392868505434701,0.5325307113008644,0.4674692886991357
1708,26.0,test,0.04,-0.129202529,0.68,0.21,0.52,0.28,16.29716977,0.0,0.0,0.37447989572964024,0.8852993247038358,0.11470067529616428,0.7841689903216627,0.2158310096783374,0.29309561189326483,0.7069043881067352,0.6921499252664045,0.3078500747335955,0.46109268986410845,0.5389073101358915,0.6141599963575871,0.3858400036424129,0.3429210186004703,0.6570789813995297,0.782234367900533,0.21776563209946703,0.5130947970104374,0.48690520298956264,0.5200648819207918,0.47993511807920813,0.48145431268208305,0.518545687317917,0.5164581383836819,0.48354186161631807,0.6430051799565687,0.3569948200434313,0.5593995460692109,0.4406004539307891
1709,26.0,test,0.13,-0.142545651,0.32,0.3,0.33,0.19,17.14474502,0.0,0.0,0.3767505898143009,0.9662637655883415,0.0337362344116585,0.8203191659548794,0.17968083404512056,0.5621381921554715,0.43786180784452855,0.6062231328023382,0.39377686719766186,0.3840639391744567,0.6159360608255433,0.3569664761536564,0.6430335238463436,0.6694740915804479,0.3305259084195521,0.4913618980320832,0.5086381019679168,0.3499808330462064,0.6500191669537936,0.40654553744283817,0.5934544625571618,0.2629152069122971,0.7370847930877029,0.5969432059852823,0.4030567940147177,0.384111531961825,0.615888468038175,0.43138949771230906,0.5686105022876909
1710,26.0,test,0.12,-0.14764482,0.31,0.63,0.26,0.52,16.03236672,0.0,0.0,0.21912553604178428,0.964949790978125,0.03505020902187495,0.9293824980216621,0.070617501978338,0.7552131390605891,0.2447868609394109,0.8995104902889978,0.10048950971100225,0.4605777757467221,0.5394222242532779,0.8663887910758614,0.13361120892413858,0.33793436195298565,0.6620656380470143,0.8618706549799864,0.13812934502001367,0.8253367888695912,0.1746632111304088,0.7256891978426939,0.2743108021573061,0.5629501245362722,0.4370498754637277,0.8741969422867084,0.12580305771329162,0.5612961071506489,0.4387038928493511,0.5199969597006465,0.4800030402993535
