,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
train_ACC,0.8,0.79,0.8,0.82,0.8,0.8,0.81,0.8,0.8,0.79,0.81,0.82,0.82,0.82,0.8,0.8,0.81,0.8,0.81,0.8,0.8,0.81,0.82,0.82,0.8,0.8,0.81,0.81,0.82,0.79
train_GEOACC,0.8,0.79,0.8,0.82,0.8,0.8,0.81,0.8,0.8,0.79,0.81,0.82,0.82,0.82,0.8,0.8,0.81,0.8,0.81,0.8,0.8,0.81,0.82,0.82,0.8,0.8,0.81,0.81,0.82,0.79
train_AUROC,0.9,0.9,0.9,0.91,0.88,0.89,0.91,0.9,0.9,0.88,0.9,0.9,0.91,0.9,0.88,0.9,0.89,0.89,0.9,0.9,0.89,0.89,0.9,0.9,0.9,0.89,0.9,0.9,0.9,0.88
train_SPE,0.8,0.79,0.8,0.82,0.8,0.8,0.81,0.81,0.8,0.79,0.81,0.82,0.82,0.82,0.8,0.8,0.81,0.8,0.8,0.8,0.8,0.81,0.82,0.82,0.8,0.8,0.81,0.81,0.82,0.79
train_SEN,0.8,0.79,0.8,0.82,0.8,0.8,0.81,0.8,0.8,0.79,0.82,0.82,0.82,0.82,0.8,0.8,0.81,0.8,0.81,0.8,0.8,0.81,0.82,0.82,0.8,0.8,0.81,0.81,0.82,0.79
test_ACC,0.77,0.75,0.78,0.76,0.78,0.76,0.77,0.79,0.79,0.78,0.73,0.76,0.77,0.78,0.77,0.75,0.75,0.78,0.77,0.77,0.75,0.77,0.76,0.8,0.78,0.77,0.75,0.78,0.78,0.77
test_GEOACC,0.8,0.73,0.76,0.75,0.78,0.75,0.82,0.73,0.77,0.8,0.78,0.74,0.76,0.73,0.78,0.76,0.77,0.73,0.76,0.79,0.78,0.76,0.73,0.75,0.77,0.78,0.76,0.73,0.78,0.77
test_AUROC,0.86,0.85,0.84,0.82,0.86,0.83,0.89,0.78,0.87,0.89,0.86,0.85,0.84,0.82,0.86,0.84,0.86,0.79,0.86,0.89,0.87,0.85,0.83,0.83,0.84,0.84,0.86,0.78,0.85,0.87
test_SPE,0.15,0.13,0.14,0.14,0.15,0.14,0.15,0.14,0.15,0.15,0.13,0.13,0.14,0.13,0.15,0.13,0.14,0.14,0.14,0.15,0.14,0.14,0.13,0.15,0.15,0.15,0.13,0.14,0.15,0.14
test_SEN,0.84,0.72,0.74,0.74,0.78,0.74,0.88,0.66,0.76,0.82,0.84,0.72,0.76,0.68,0.78,0.76,0.8,0.68,0.74,0.82,0.82,0.76,0.7,0.7,0.76,0.78,0.78,0.68,0.78,0.76
Ths,[0.5068954619869537],[0.5111392199747307],[0.509148611433281],[0.5040081827342423],[0.5159959089530548],[0.5006172393399165],[0.5101125485264401],[0.5111264213659503],[0.5168954201436612],[0.5038252577784824],[0.5080597819647555],[0.5148692309429984],[0.5024686531803246],[0.5095387473857833],[0.5043430589750966],[0.5089912741809337],[0.49986881271434336],[0.5134397646936951],[0.5058775485085423],[0.5088162771134588],[0.5257076980580959],[0.5056063693133983],[0.5082200300377129],[0.5053266989126908],[0.5085218848460141],[0.5026779546788233],[0.5030935871193181],[0.5092012197038944],[0.5080773231650009],[0.5118027387316241]
Mean,0.75,0.72,0.73,0.74,0.75,0.73,0.77,0.72,0.74,0.75,0.75,0.74,0.75,0.73,0.74,0.73,0.74,0.72,0.74,0.75,0.74,0.74,0.73,0.74,0.74,0.74,0.74,0.72,0.75,0.74
