,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,361,89,358,92,363,87,365,85,360,90,357,93,353,97,362,88,358,92,363,87,366,84,358,92,363,87,363,87,359,91,360,90,360,90,358,92,354,96,366,84,358,92,358,92,363,87,361,89,363,87,365,85,358,92,357,93,368,82,362,88
1,85,365,93,357,86,364,85,365,88,362,94,356,97,353,89,361,92,358,86,364,84,366,92,358,88,362,89,361,93,357,89,361,91,359,91,359,94,356,84,366,92,358,92,358,87,363,90,360,85,365,84,366,91,359,94,356,85,365,86,364
2,46,4,39,11,38,12,35,15,34,16,37,13,47,3,41,9,36,14,30,20,43,7,37,13,37,13,33,17,34,16,38,12,39,11,39,11,36,14,33,17,42,8,38,12,37,13,35,15,35,15,37,13,45,5,38,12,40,10,31,19
3,8,42,11,39,12,38,15,35,11,39,10,40,9,41,14,36,12,38,9,41,11,39,12,38,15,35,15,35,14,36,13,37,6,44,14,36,12,38,11,39,9,41,10,40,13,37,13,37,11,39,12,38,10,40,14,36,11,39,10,40
