,fold,train/test,ratio1,ratio2,ratio3,ratio4,ratio5,ratio6,ratio7,target,predict,total_proba,estm 0 proba 0,estm 0 proba 1,estm 1 proba 0,estm 1 proba 1,estm 2 proba 0,estm 2 proba 1,estm 3 proba 0,estm 3 proba 1,estm 4 proba 0,estm 4 proba 1,estm 5 proba 0,estm 5 proba 1,estm 6 proba 0,estm 6 proba 1,estm 7 proba 0,estm 7 proba 1,estm 8 proba 0,estm 8 proba 1,estm 9 proba 0,estm 9 proba 1,estm 10 proba 0,estm 10 proba 1
1044,22.0,test,0.04,-0.030648204,0.54,0.19,0.25,0.21,17.90293594,0.0,0.0,0.26173640060490844,0.8895022329857852,0.11049776701421476,0.9066334199137277,0.0933665800862723,0.5310640813846212,0.4689359186153788,0.862495971802864,0.13750402819713606,0.5668885949802358,0.4331114050197642,0.6592255995236262,0.3407744004763738,0.47080225148260413,0.5291977485173959,0.711729073530214,0.288270926469786,0.4577231634171357,0.5422768365828643,0.7679997553516025,0.23200024464839758,0.606939830506926,0.39306016949307404
1045,22.0,test,0.06,-0.142261377,0.65,0.26,0.2,0.23,16.82639816,0.0,0.0,0.45074962952691927,0.7289441312839207,0.2710558687160793,0.4534912193993528,0.5465087806006472,0.4739971891112791,0.5260028108887209,0.5708006973377208,0.42919930266227924,0.5323215029424283,0.4676784970575717,0.45425456883792836,0.5457454311620716,0.4442583412989468,0.5557416587010532,0.45375144602882533,0.5462485539711747,0.45017456595583594,0.5498254340441641,0.4649937971462049,0.5350062028537951,0.5071335780131522,0.4928664219868478
1046,22.0,test,0.05,-0.028551682,0.56,0.09,1.32,0.44,16.46697651,0.0,0.0,0.22222783164831775,0.9729938992071289,0.027006100792871125,0.9378170763715283,0.062182923628471644,0.6692518642183447,0.3307481357816553,0.6396762033497941,0.36032379665020586,0.7461906123790991,0.25380938762090094,0.4944091045143192,0.5055908954856808,0.8413280157935636,0.1586719842064364,0.6003364148593211,0.39966358514067896,0.5413299686076047,0.4586700313923953,0.6846597232832222,0.3153402767167778,0.5047237494570155,0.4952762505429845
1047,22.0,test,0.06,-0.124547538,0.59,0.12,0.34,0.34,17.17880172,0.0,0.0,0.3010851644503292,0.9657134932009704,0.03428650679902957,0.5691059086165269,0.4308940913834731,0.5546811070233327,0.44531889297666727,0.7722500428767951,0.22774995712320495,0.41510923848809256,0.5848907615119074,0.721029429152531,0.27897057084746907,0.6094089442394142,0.39059105576058584,0.5818217991866026,0.41817820081339735,0.47650500890814984,0.5234949910918502,0.7068783727438794,0.2931216272561206,0.4727289518328709,0.5272710481671291
1048,22.0,test,0.12,-0.120834206,0.54,0.22,0.53,0.26,16.50328472,0.0,0.0,0.39681011891223406,0.8298521713150541,0.17014782868494593,0.6529675789924201,0.34703242100757997,0.5872170504235324,0.41278294957646755,0.49205461724183,0.50794538275817,0.3888344767908264,0.6111655232091736,0.5862980447873996,0.41370195521260045,0.4426272504144523,0.5573727495855477,0.7232415931692888,0.27675840683071123,0.23383535850710435,0.7661646414928956,0.37689784879229893,0.6231021512077011,0.6140585375778858,0.3859414624221142
1049,22.0,test,0.48,-0.145246256,0.57,0.08,0.27,-0.03,16.05775917,0.0,1.0,0.6040100558109428,0.25988838423673133,0.7401116157632687,0.14815090412303467,0.8518490958769653,0.482336056819087,0.517663943180913,0.44792713604710654,0.5520728639528935,0.3947962021254071,0.6052037978745929,0.6663297731418311,0.33367022685816894,0.44178421138779356,0.5582157886122064,0.4165201104534867,0.5834798895465133,0.7462661196718396,0.2537338803281604,0.5438791294649518,0.45612087053504824,0.5072999051664251,0.4927000948335749
1050,22.0,test,0.26,-0.145690435,0.55,0.04,0.08,0.23,15.99516614,0.0,0.0,0.4705308367713376,0.7819178042645873,0.2180821957354126,0.38774093409581356,0.6122590659041864,0.5089288978830679,0.491071102116932,0.3525472353436315,0.6474527646563685,0.2702998830602159,0.7297001169397841,0.4962933038509745,0.5037066961490255,0.4530196598663071,0.5469803401336929,0.34591247309213946,0.6540875269078605,0.193401657154049,0.806598342845951,0.7940923638323826,0.20590763616761742,0.37414499056925377,0.6258550094307462
1051,22.0,test,0.16,-0.148586478,0.45,0.44,0.14,0.41,19.22715764,0.0,0.0,0.24597167678442816,0.9620773885691859,0.03792261143081408,0.9051181732545064,0.0948818267454936,0.6040462655829912,0.39595373441700876,0.8645464046678095,0.13545359533219048,0.7577460254867723,0.2422539745132277,0.2367550226684173,0.7632449773315827,0.6643216616184358,0.3356783383815643,0.7939993103005799,0.20600068969942012,0.5696605849876144,0.4303394150123856,0.5230825485102231,0.47691745148977693,0.5637721013675032,0.4362278986324967
1052,22.0,test,0.21,-0.114242597,0.45,0.07,0.23,0.47,18.81370672,0.0,0.0,0.18565577507023323,0.9914782537814147,0.00852174621858527,0.8509644793824742,0.1490355206175258,0.7028716116943927,0.2971283883056073,0.9729098001917496,0.027090199808250462,0.8017388107020144,0.19826118929798564,0.7473781268968683,0.25262187310313167,0.8926893081884923,0.10731069181150762,0.49109036662555017,0.5089096333744498,0.591861627111979,0.40813837288802096,0.6828573046905917,0.3171426953094083,0.4573675816184085,0.5426324183815915
1053,22.0,test,0.13,-0.113816186,0.38,0.22,0.36,0.53,17.72858713,0.0,0.0,0.14349853239867844,0.9977058173970978,0.0022941826029021033,0.978284260540317,0.021715739459683022,0.9184130071395679,0.08158699286043214,0.9679928381333488,0.032007161866651215,0.7859870306616646,0.21401296933833533,0.43838541405980425,0.5616145859401958,0.8288576108376975,0.17114238916230254,0.7450185708730025,0.2549814291269975,0.6820257194231449,0.3179742805768551,0.7955077942640132,0.2044922057359868,0.5114769222795091,0.48852307772049086
1054,22.0,test,0.43,-0.003144672,0.28,0.23,0.62,0.61,15.99879543,0.0,0.0,0.1834174645694574,0.9951874873646893,0.004812512635310714,0.8099138444736951,0.1900861555263049,0.9632764048669827,0.0367235951330173,0.8239442277960616,0.1760557722039384,0.9062676284663287,0.09373237153367132,0.6015879218615087,0.39841207813849133,0.8688452722029718,0.13115472779702816,0.6899903103091685,0.3100096896908316,0.38452400679169807,0.6154759932083019,0.6190884316143006,0.38091156838569934,0.6548762673285307,0.3451237326714694
