,fold,train/test,ratio1,ratio2,ratio3,ratio4,ratio5,ratio6,ratio7,target,predict,total_proba,estm 0 proba 0,estm 0 proba 1,estm 1 proba 0,estm 1 proba 1,estm 2 proba 0,estm 2 proba 1,estm 3 proba 0,estm 3 proba 1,estm 4 proba 0,estm 4 proba 1,estm 5 proba 0,estm 5 proba 1,estm 6 proba 0,estm 6 proba 1,estm 7 proba 0,estm 7 proba 1,estm 8 proba 0,estm 8 proba 1,estm 9 proba 0,estm 9 proba 1
486,20.0,train,0.9740394930907126,-0.1405630063575737,0.9375593545389158,-0.7556579954593388,-0.07327066396698437,-0.4880648457087051,-0.5964766164025359,1.0,1.0,0.5713169173676678,0.2970879680369831,0.7029120319630169,0.4128233096046491,0.5871766903953509,0.5650030949705573,0.4349969050294426,0.41633056412420333,0.5836694358757967,0.518827089745378,0.48117291025462205,0.5420544439329514,0.45794555606704856,0.578758316192196,0.421241683807804,0.3904042959092102,0.6095957040907898,0.5430212460959555,0.4569787539040445,0.40779156039999154,0.5922084396000085
487,20.0,train,0.012632246885761828,-0.14528566902721302,1.384308845280785,0.17463295478736232,0.2456202191389899,-0.5735569362376725,-0.627199942939415,1.0,1.0,0.5380403565090628,0.5906833210157867,0.4093166789842133,0.4811114730859809,0.5188885269140191,0.5634441237598946,0.43655587624010533,0.23570412355781611,0.7642958764421839,0.40076268762723166,0.5992373123727683,0.22370012478036627,0.7762998752196337,0.6118898994445887,0.38811010055541134,0.487638811603343,0.512361188396657,0.3610113258633142,0.6389886741366858,0.36698871573211256,0.6330112842678874
488,20.0,train,1.0541567636077918,-0.14279620340995508,1.16093409990985,-0.646212001312668,-0.6791633418683353,-1.0437634341469932,-0.2943689811503252,1.0,1.0,0.6347522658339835,0.09308944673070274,0.9069105532692973,0.34739843687274163,0.6526015631272584,0.5221299708100469,0.4778700291899531,0.311798459088406,0.688201540911594,0.591144793133992,0.40885520686600796,0.5438208337879045,0.4561791662120956,0.5508155624613362,0.44918443753866377,0.4313487021637804,0.5686512978362196,0.6840779760826992,0.31592202391730084,0.2996228256971418,0.7003771743028582
489,20.0,train,0.2529840584369995,-0.14521245002597216,1.294958947132411,-0.8103809925326741,-0.9023869600425171,-0.787287162560091,-0.7923755945810452,1.0,1.0,0.627262482258859,0.13583576356190252,0.8641642364380975,0.4176726359827525,0.5823273640172475,0.48627768090747103,0.513722319092529,0.31528279990868546,0.6847172000913145,0.6208633587528476,0.37913664124715235,0.5098775331701422,0.4901224668298579,0.5890017018456022,0.41099829815439787,0.3690746428459082,0.6309253571540918,0.62130860543924,0.37869139456075995,0.2971314233839164,0.7028685766160836
490,20.0,train,1.7752121982615046,-0.15328490775905007,1.6076835906517195,-0.9198269866793448,1.8400746346688608,-1.7277001583787326,-0.34388638005625993,1.0,1.0,0.7472720015169443,0.030542410709505363,0.9694575892904946,0.28833214967968335,0.7116678503203167,0.10663173472644705,0.893368265273553,0.40082335498759625,0.5991766450124038,0.6593130921430296,0.3406869078569704,0.3055702430839863,0.6944297569160137,0.031016283376170573,0.9689837166238294,0.05322554056267681,0.9467744594373232,0.82722143896618,0.17277856103382003,0.2998059092190275,0.7001940907809725
491,20.0,train,0.4933358699882372,-0.14834258705542147,1.0269092526872892,-1.0839959778993509,-1.2531669314590888,-0.5735569362376725,-0.6230161144869092,1.0,1.0,0.6497727037450327,0.12129915253237689,0.8787008474676231,0.3893261495684479,0.6106738504315521,0.4379105208354773,0.5620894791645227,0.25847056181020045,0.7415294381897996,0.6150413321219603,0.3849586678780396,0.4366257603616134,0.5633742396383866,0.5944014307730405,0.4055985692269595,0.4538075224891357,0.5461924775108643,0.4624324229949738,0.5375675770050262,0.33553094900488933,0.6644690509951107
492,20.0,train,3.6179094201543265,-0.15134458980243248,2.3671577249128983,-0.5914890042393327,-2.114172315845219,-5.147383779537429,-1.0197549659915341,1.0,1.0,0.792407338745457,0.00036256962576308727,0.9996374303742369,0.22517961659801256,0.7748203834019874,0.4026544299318642,0.5973455700681358,0.08593770176997362,0.9140622982300264,0.3540864895147636,0.6459135104852364,0.6421947886857828,0.35780521131421716,0.04866389793138304,0.951336102068617,0.3384923742402116,0.6615076257597884,0.27218836607596086,0.7278116339240391,0.2656065099820425,0.7343934900179575
493,20.0,train,-0.06748502363131748,-0.1436199243857822,2.903257113803141,-0.7009349983860033,0.3731765723813793,-2.069668520494602,-0.17631136821409457,1.0,1.0,0.7545496070683185,0.03030396748351394,0.9696960325164861,0.2294282789201797,0.7705717210798203,0.5358059788003375,0.46419402119966247,0.3134614839661647,0.6865385160338353,0.6221160153254228,0.3778839846745771,0.30552860996958175,0.6944713900304182,0.06143672014741153,0.9385632798525885,0.3262224575521574,0.6737775424478426,0.28159165566,0.71840834434,0.24438248699005016,0.7556175130099498
494,20.0,train,3.0570885265347725,-0.14367483863671282,0.6248347110196069,-0.7009349983860033,-0.26460519383056885,-0.44531880044422134,-0.2625896244840703,1.0,1.0,0.5861552329786901,0.2943861259939067,0.7056138740060933,0.36432653957145456,0.6356734604285454,0.304079994781594,0.695920005218406,0.5637811868917539,0.43621881310824606,0.49200537519741827,0.5079946248025817,0.46278620111912705,0.537213798880873,0.5054116626746917,0.49458833732530827,0.5428053291835252,0.4571946708164748,0.48056641889842167,0.5194335811015783,0.39501916804802295,0.604980831951977
495,20.0,train,1.0541567636077918,-0.1397392864120134,1.16093409990985,-0.8103809925326741,-0.5834960769365429,-0.7445411172956073,0.27750442042378054,1.0,1.0,0.6256646665220025,0.14337063114619408,0.8566293688538059,0.31488269791095347,0.6851173020890465,0.6088085730235016,0.3911914269764985,0.2992379509306279,0.7007620490693721,0.5730790671247109,0.4269209328752891,0.4662590979111275,0.5337409020888725,0.4475563844457705,0.5524436155542295,0.4861347636445956,0.5138652363554044,0.6664474359321682,0.3335525640678318,0.33535453376132995,0.66464546623867
