,fold,train/test,ratio1,ratio2,ratio3,ratio4,ratio5,ratio6,ratio7,target,predict,total_proba,estm 0 proba 0,estm 0 proba 1,estm 1 proba 0,estm 1 proba 1,estm 2 proba 0,estm 2 proba 1,estm 3 proba 0,estm 3 proba 1,estm 4 proba 0,estm 4 proba 1,estm 5 proba 0,estm 5 proba 1,estm 6 proba 0,estm 6 proba 1,estm 7 proba 0,estm 7 proba 1
0,28.0,train,-0.6431075276876734,-0.10017678390103606,-0.42813926294673343,-0.0911468478769959,-0.28174788111276683,0.6726935757889367,0.10958126208271958,0.0,0.0,0.4026210133519025,0.7771348247017784,0.22286517529822159,0.6390079642402369,0.3609920357597631,0.49735936269789915,0.5026406373021008,0.39702598399768296,0.602974016002317,0.5933068790771356,0.4066931209228644,0.4580049755175173,0.5419950244824827,0.6278902235855948,0.3721097764144053,0.5058491461788006,0.49415085382119944
1,28.0,train,0.43050561622620825,-0.11916992143290218,-0.1788184369020488,-0.8044700051752246,-0.3129261785431724,0.1346343701276827,0.9824577814521677,0.0,0.0,0.476699112761704,0.5518479751821238,0.4481520248178762,0.4681221826298996,0.5318778173701004,0.6664961269419909,0.33350387305800905,0.5893064253201085,0.41069357467989154,0.2567555934611856,0.7432444065388144,0.7324487413061405,0.26755125869385954,0.1770901437873712,0.8229098562126288,0.529729492048265,0.470270507951735
2,28.0,train,-0.4641720037020265,-0.07796942382197497,-0.5527996759690758,0.9788378880703469,3.4908261079663294,1.2824940088716912,0.33924161938495845,0.0,0.0,0.18396421952414585,0.9606111236169402,0.03938887638305978,0.8321191335734406,0.16788086642655942,0.3769477692152332,0.6230522307847668,0.8741680115293731,0.12583198847062693,0.9293276447104513,0.07067235528954877,0.8373924891554281,0.16260751084457195,0.6292663997812014,0.37073360021879864,0.8569495352356994,0.14305046476430064
3,28.0,train,-0.5238171783639088,0.8742076637727376,-1.3423156251105761,1.573273852485537,0.7471359340906232,1.5335883048469432,-0.784851665175525,0.0,0.0,0.16035552807859493,0.9976570695207493,0.0023429304792506774,0.9997776357834959,0.00022236421650412034,0.9639664101767293,0.03603358982327068,0.9451037755626769,0.05489622443732314,0.6844777398555558,0.3155222601444442,0.681962800708407,0.318037199291593,0.32951222260490065,0.6704877773950993,0.379927482072956,0.620072517927044
4,28.0,train,-0.5238171783639088,-0.09959238017532356,-0.2619253789169437,0.6816199058627518,-0.3129261785431724,0.38572866610293455,0.09954395332805427,0.0,0.0,0.4494005953258767,0.6596039359623918,0.3403960640376083,0.5179764221780794,0.4820235778219207,0.7586218763454067,0.24137812365459338,0.357833854935393,0.642166145064607,0.36103760079568537,0.6389623992043146,0.5667811929130917,0.4332188070869083,0.5073056427607225,0.4926943572392774,0.4398708112722559,0.5601291887277441
5,28.0,train,-0.4641720037020265,-0.10521727168869098,-0.7190135599988651,1.4543866596024995,-0.37528277340398397,0.38572866610293455,0.15454622607641835,0.0,0.0,0.32495340925032856,0.8816388526749559,0.11836114732504412,0.592268898108355,0.4077311018916449,0.8686743851173118,0.1313256148826883,0.5103231793062313,0.48967682069376867,0.36662248841004497,0.633377511589955,0.5660033676291147,0.43399663237088526,0.7470267671334094,0.2529732328665905,0.4069794996905963,0.5930205003094037
6,28.0,train,-0.3448816543782619,0.031277638364531665,-1.1345482700733391,0.3844019236551564,-0.40646107083438976,1.354235236293192,-0.23390312516495324,0.0,0.0,0.19225452697604223,0.9885774419736583,0.011422558026341761,0.8973958958242052,0.10260410417579478,0.5832206715135599,0.41677932848644006,0.8329810825549582,0.16701891744504177,0.7620444143706548,0.23795558562934516,0.5330600802962324,0.46693991970376764,0.6942773588834454,0.3057226411165545,0.7528611868944528,0.24713881310554722
7,28.0,train,-1.0606237503208498,0.3506180146856618,-1.7994038061924975,1.8704918346931325,0.5600661495081888,1.6770707596899443,1.473223388428723,0.0,0.0,0.15949203860299613,0.9958135691529236,0.00418643084707635,0.9924114510260358,0.007588548973964214,0.9422133955854045,0.05778660441459544,0.9909798928578011,0.009020107142198877,0.6189591759279005,0.38104082407209944,0.3407184788135019,0.6592815211864981,0.3187879315359239,0.6812120684640761,0.8822124348719319,0.11778756512806808
8,28.0,train,-0.8220430516733205,-0.06204440893376387,-0.012604552872259502,-0.7450264087337055,0.6847793392298116,0.4574698935244351,-0.8296947323662978,0.0,0.0,0.4023084884507429,0.7728635704795307,0.22713642952046928,0.6707360477918642,0.3292639522081358,0.5426284429347294,0.4573715570652706,0.28076205352771344,0.7192379464722866,0.6379350501570327,0.36206494984296733,0.7582934331016752,0.2417065668983248,0.4367930641700334,0.5632069358299666,0.3833187112885603,0.6166812887114397
9,28.0,train,0.19192491757867894,-0.10744531166388599,-0.3034788499243911,0.14662753788908017,0.2794614726345368,-0.008848084715318371,3.787822686072781,0.0,0.0,0.1659774761978763,0.9882395749081355,0.011760425091864498,0.9043909918460175,0.09560900815398259,0.8469781719148364,0.15302182808516357,0.8733230361635848,0.12667696383641522,0.6613357990641968,0.3386642009358032,0.7303873371521865,0.26961266284781354,0.25250787765053007,0.7474921223494699,0.9011293477696196,0.09887065223038037
10,28.0,train,-0.8816882263352028,-0.11288757624205223,0.2782697441798726,0.8005070987457896,-0.1258563939607379,0.20637559754918325,-0.7894296322976485,0.0,0.0,0.41822871442467613,0.6010138290352339,0.3989861709647661,0.7149112533922526,0.28508874660774747,0.5831552902932003,0.41684470970679965,0.33157838830946573,0.6684216116905343,0.7243009460248506,0.27569905397514943,0.5132871279445573,0.48671287205544267,0.7834479623916624,0.21655203760833766,0.4673398894414572,0.5326601105585428
